交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
2015-06-30,sh600000,3.16363e+11,1,0.065996,14,-0.111440072949
2015-07-31,sh600000,2.81108e+11,1,0.011409,23,-0.00729855215191
2015-08-31,sh600000,2.79056e+11,1,0.050562,21,0.111631099069
2015-09-30,sh600000,3.10208e+11,1,0.041327,20,-0.0144327982458
2015-10-31,sh600000,3.05731e+11,1,-0.012055,10,0.137889067555
2015-11-30,sh600000,3.47888e+11,1,0.006476,21,-0.0203753080142
2015-12-31,sh600000,3.40799e+11,1,-0.016155,23,-0.0749870443207
2016-01-31,sh600000,3.15244e+11,1,0.0193,20,0.0917153766218
2016-02-29,sh600000,3.44157e+11,0,0.0,6,-0.0281827877303
2016-03-31,sh600000,3.52378e+11,1,0.003358,15,-0.00557901847951
2016-04-30,sh600000,3.50412664549e+11,1,-0.003911,20,0.0258027948333
2016-05-31,sh600000,3.59453036153e+11,1,0.018942,21,-0.0361100529906
2016-06-30,sh600000,3.36596618386e+11,1,0.004516,20,0.00835052214849
2016-07-31,sh600000,3.39406994775e+11,1,0.001276,21,0.0496795789448
2016-08-31,sh600000,3.56269253115e+11,1,0.004878,23,0.00060730342604
2016-09-30,sh600000,3.56485435914e+11,1,-0.000606,20,-0.013342941099
2016-10-31,sh600000,3.51729414331e+11,1,-0.001228,16,0.0547029149386
2016-11-30,sh600000,3.70969683462e+11,1,-0.005794,22,-0.0553593533424
2016-12-31,sh600000,3.50432317536e+11,1,0.008712,22,0.0326962014399
2017-01-31,sh600000,3.61890005894e+11,1,0.002996,18,-0.00895979715579
2017-02-28,sh600000,3.58647263906e+11,1,0.0,18,-0.0379730905238
2017-03-31,sh600000,3.45027747555e+11,1,0.005038,18,
1998-01-31,sh600001,10067518810.0,1,0.025284,2,-0.0406895113813
1998-02-28,sh600001,9657866380.0,1,-0.008917,15,0.0141387380797
1998-03-31,sh600001,9794417190.0,1,0.010243,22,-0.0114054786533
1998-04-30,sh600001,9682693800.0,1,0.001284,22,7.80418926594e-07
1998-05-31,sh600001,9682693800.0,1,0.019608,20,-0.0358967108779
1998-06-30,sh600001,9335109920.0,1,-0.001328,22,0.0638308627919
1998-07-31,sh600001,9930968000.0,1,0.006289,23,-0.0787485533097
1998-08-31,sh600001,9148904270.0,1,0.009589,21,0.0203499783296
1998-09-30,sh600001,9335109920.0,1,-0.003974,22,-0.0531911008157
1998-10-31,sh600001,8838561520.0,1,-0.001403,20,0.0182597618907
1998-11-30,sh600001,8999939750.0,1,-0.001377,21,0.0275861561226
1998-12-31,sh600001,9248213950.0,1,-0.01715,23,0.0268462725809
1999-01-31,sh600001,9496488150.0,1,-0.006494,20,-0.0235308168102
1999-02-28,sh600001,9273041370.0,1,0.02751,7,0.223560561217
1999-03-31,sh600001,11346130940.0,1,0.007718,23,-0.088622838557
1999-04-30,sh600001,10340620430.0,1,-0.011862,22,0.236494197058
1999-05-31,sh600001,12786121300.0,1,0.041456,20,0.252425559011
1999-06-30,sh600001,16013685900.0,1,0.035313,21,-0.0968977516773
